"조회기간","시도","시군구","용도업종(소)","판매량"
"2016-10","서울특별시","강남구","가정용","66175869"
"2016-10","서울특별시","강남구","국군용","12305"
"2016-10","서울특별시","강남구","기타공공용","4940682"
"2016-10","서울특별시","강남구","관공용","3189593"
"2016-10","서울특별시","강남구","순수써비스","252811959"
"2016-10","서울특별시","강남구","어업","380"
"2016-10","서울특별시","강남구","펄프.종이","25673"
"2016-10","서울특별시","강남구","1차금속","4834"
"2016-10","서울특별시","강남구","기타기계","52814"
"2016-10","서울특별시","강남구","의복.모피","188289"
"2016-10","서울특별시","강남구","섬유","70211"
"2016-10","서울특별시","강남구","음료품제조","329"
"2016-10","서울특별시","강남구","식료품제조","340243"
"2016-10","서울특별시","강남구","가구및기타","40996"
"2016-10","서울특별시","강남구","자동차","21714"
"2016-10","서울특별시","강남구","의료.광학","72847"
"2016-10","서울특별시","강남구","영상.음향","131013"
"2016-10","서울특별시","강남구","전기기기","2785"
"2016-10","서울특별시","강남구","시멘트","146265"
"2016-10","서울특별시","강남구","유리","941"
"2016-10","서울특별시","강남구","고무.플라","8398"
"2016-10","서울특별시","강남구","화학제품","7706"
"2016-10","서울특별시","강남구","가죽.신발","2987"
"2016-10","서울특별시","강남구","조립금속","15546"
"2016-10","서울특별시","강남구","출판.인쇄","112572"
"2016-10","서울특별시","강남구","목재.나무","2031"
"2016-10","서울특별시","강남구","농업.임업","59445"
"2016-10","서울특별시","강남구","전철","3603886"
"2016-10","서울특별시","강남구","사업자용","622692"
"2016-10","서울특별시","강남구","수도","4800031"
"2016-10","서울특별시","강동구","가정용","39659451"
"2016-10","서울특별시","강동구","농업.임업","144907"
"2016-10","서울특별시","강동구","금속비금속","695"
"2016-10","서울특별시","강동구","펄프.종이","25778"
"2016-10","서울특별시","강동구","전철","743"
"2016-10","서울특별시","강동구","자동차","28177"
"2016-10","서울특별시","강동구","의료.광학","49662"
"2016-10","서울특별시","강동구","영상.음향","70600"
"2016-10","서울특별시","강동구","전기기기","7668"
"2016-10","서울특별시","강동구","사무기기","346"
"2016-10","서울특별시","강동구","기타기계","56935"
"2016-10","서울특별시","강동구","조립금속","19803"
"2016-10","서울특별시","강동구","1차금속","1384"
"2016-10","서울특별시","강동구","출판.인쇄","23074"
"2016-10","서울특별시","강동구","시멘트","8320"
"2016-10","서울특별시","강동구","유리","15889"
"2016-10","서울특별시","강동구","고무.플라","24288"
"2016-10","서울특별시","강동구","화학제품","48737"
"2016-10","서울특별시","강동구","가죽.신발","134854"
"2016-10","서울특별시","강동구","의복.모피","296027"
"2016-10","서울특별시","강동구","섬유","349246"
"2016-10","서울특별시","강동구","음료품제조","74535"
"2016-10","서울특별시","강동구","식료품제조","754613"
"2016-10","서울특별시","강동구","재생재료","48173"
"2016-10","서울특별시","강동구","가구및기타","119521"
"2016-10","서울특별시","강동구","목재.나무","3026"
"2016-10","서울특별시","강동구","어업","1067"
"2016-10","서울특별시","강동구","순수써비스","52981126"
"2016-10","서울특별시","강동구","관공용","762876"
"2016-10","서울특별시","강동구","수도","11687640"
"2016-10","서울특별시","강동구","사업자용","143518"
"2016-10","서울특별시","강동구","기타공공용","3032359"
"2016-10","서울특별시","강북구","가정용","29212768"
"2016-10","서울특별시","강북구","시멘트","1994"
"2016-10","서울특별시","강북구","유리","10848"
"2016-10","서울특별시","강북구","고무.플라","217775"
"2016-10","서울특별시","강북구","화학제품","23152"
"2016-10","서울특별시","강북구","전기기기","12183"
"2016-10","서울특별시","강북구","사무기기","2705"
"2016-10","서울특별시","강북구","기타기계","94899"
"2016-10","서울특별시","강북구","조립금속","6067"
"2016-10","서울특별시","강북구","1차금속","3736"
"2016-10","서울특별시","강북구","출판.인쇄","13795"
"2016-10","서울특별시","강북구","펄프.종이","1371"
"2016-10","서울특별시","강북구","목재.나무","4163"
"2016-10","서울특별시","강북구","어업","1301"
"2016-10","서울특별시","강북구","가죽.신발","63659"
"2016-10","서울특별시","강북구","의복.모피","1320220"
"2016-10","서울특별시","강북구","섬유","777140"
"2016-10","서울특별시","강북구","음료품제조","33857"
"2016-10","서울특별시","강북구","식료품제조","328577"
"2016-10","서울특별시","강북구","가구및기타","29022"
"2016-10","서울특별시","강북구","자동차","11002"
"2016-10","서울특별시","강북구","의료.광학","22104"
"2016-10","서울특별시","강북구","영상.음향","12743"
"2016-10","서울특별시","강북구","관공용","1401882"
"2016-10","서울특별시","강북구","수도","628767"
"2016-10","서울특별시","강북구","사업자용","56105"
"2016-10","서울특별시","강북구","농업.임업","6679"
"2016-10","서울특별시","강북구","순수써비스","31302872"
"2016-10","서울특별시","강북구","기타공공용","1464678"
"2016-10","서울특별시","강북구","국군용","17428"
"2016-10","서울특별시","강서구","가정용","57073407"
"2016-10","서울특별시","강서구","식료품제조","930782"
"2016-10","서울특별시","강서구","재생재료","15483"
"2016-10","서울특별시","강서구","가구및기타","210716"
"2016-10","서울특별시","강서구","기타운송","985578"
"2016-10","서울특별시","강서구","자동차","159148"
